Date	ExchRate	CurrencyFrom	CurrencyTo
2016-08-24	0.7728	CAD	USD
2016-08-25	0.7730	CAD	USD
2016-08-26	0.7724	CAD	USD
2016-08-29	0.7681	CAD	USD
2016-08-30	0.7648	CAD	USD
2016-08-31	0.7620	CAD	USD
2016-09-01	0.7630	CAD	USD
2016-01-29	1.4080	USD	CAD
2016-01-28	1.4073	USD	CAD
2016-01-27	1.4043	USD	CAD
2016-01-26	1.4062	USD	CAD
2016-01-25	1.4252	USD	CAD
2016-01-22	1.4151	USD	CAD
2016-01-21	1.4243	USD	CAD
2016-01-20	1.4589	USD	CAD
2016-01-19	1.4514	USD	CAD
2016-01-18	1.4507	USD	CAD
2016-01-15	1.4528	USD	CAD
2016-01-14	1.4373	USD	CAD
2016-01-13	1.4294	USD	CAD
2016-01-12	1.4291	USD	CAD
2016-01-11	1.4205	USD	CAD
2016-01-08	1.4151	USD	CAD
2016-01-07	1.4061	USD	CAD
2016-01-06	1.4084	USD	CAD
2016-01-05	1.3993	USD	CAD
2016-01-04	1.3969	USD	CAD
2015-12-31	1.3840	USD	CAD
2015-12-30	1.3884	USD	CAD
2015-12-29	1.3850	USD	CAD
2006-12-29	1.1653	USD	CAD
2006-12-28	1.1599	USD	CAD
2006-12-27	1.1612	USD	CAD
2016-02-01	1.4006	USD	CAD
2016-02-02	1.4040	USD	CAD
2016-02-03	1.3846	USD	CAD
2016-02-04	1.3726	USD	CAD
2016-02-05	1.3876	USD	CAD
2016-02-12	1.3835	USD	CAD
2016-02-11	1.3930	USD	CAD
2016-02-10	1.3968	USD	CAD
2016-02-09	1.3820	USD	CAD
2016-02-08	1.3921	USD	CAD
2016-02-16	1.3860	USD	CAD
2016-02-17	1.3684	USD	CAD
2016-02-18	1.3721	USD	CAD
2016-02-19	1.3801	USD	CAD
2016-02-26	1.3547	USD	CAD
2016-02-25	1.3575	USD	CAD
2016-02-24	1.3766	USD	CAD
2016-02-23	1.3792	USD	CAD
2016-02-22	1.3685	USD	CAD
2016-03-01	1.3407	USD	CAD
2016-02-29	1.3523	USD	CAD
2016-03-02	1.3468	USD	CAD
2016-03-03	1.3407	USD	CAD
2016-03-04	1.3337	USD	CAD
2016-03-07	1.3301	USD	CAD
2016-03-16	1.3362	USD	CAD
2016-03-15	1.3359	USD	CAD
2016-03-14	1.3293	USD	CAD
2016-03-11	1.3215	USD	CAD
2016-03-10	1.3373	USD	CAD
2016-03-09	1.3236	USD	CAD
2016-03-08	1.3389	USD	CAD
2016-03-17	1.2984	USD	CAD
2016-03-18	1.2982	USD	CAD
2016-03-21	1.3069	USD	CAD
2016-03-22	1.3051	USD	CAD
2016-03-23	1.3203	USD	CAD
2016-03-24	1.3269	USD	CAD
2016-03-28	1.3184	USD	CAD
2016-03-29	1.3154	USD	CAD
2016-03-30	1.2962	USD	CAD
2016-03-31	1.2971	USD	CAD
2016-04-01	1.3047	USD	CAD
2016-04-04	1.3036	USD	CAD
2016-04-05	1.3170	USD	CAD
2016-04-06	1.3077	USD	CAD
2016-04-07	1.3163	USD	CAD
2016-04-08	1.2995	USD	CAD
2016-04-11	1.2913	USD	CAD
2016-04-12	1.2799	USD	CAD
2016-04-13	1.2792	USD	CAD
2016-04-14	1.2836	USD	CAD
2016-04-15	1.2858	USD	CAD
2016-04-18	1.2815	USD	CAD
2016-04-19	1.2656	USD	CAD
2016-04-20	1.2627	USD	CAD
2016-04-21	1.2710	USD	CAD
2016-04-22	1.2674	USD	CAD
2016-04-25	1.2680	USD	CAD
2016-04-26	1.2614	USD	CAD
2016-04-27	1.2635	USD	CAD
2016-04-28	1.2544	USD	CAD
2016-04-29	1.2549	USD	CAD
2016-05-02	1.2548	USD	CAD
2016-05-03	1.2686	USD	CAD
2016-05-04	1.2884	USD	CAD
2016-05-05	1.2853	USD	CAD
2016-05-06	1.2921	USD	CAD
2016-05-09	1.2994	USD	CAD
2016-05-10	1.2959	USD	CAD
2016-05-11	1.2836	USD	CAD
2016-05-12	1.2858	USD	CAD
2016-05-13	1.2940	USD	CAD
2016-05-16	1.2887	USD	CAD
2016-05-17	1.2885	USD	CAD
2016-05-18	1.2928	USD	CAD
2016-05-19	1.3116	USD	CAD
2016-05-20	1.3136	USD	CAD
2016-05-24	1.3118	USD	CAD
2016-05-25	1.3090	USD	CAD
2016-05-26	1.2981	USD	CAD
2016-05-27	1.3003	USD	CAD
2016-05-30	1.3061	USD	CAD
2016-05-31	1.3100	USD	CAD
2016-06-01	1.3091	USD	CAD
2016-06-02	1.3080	USD	CAD
2016-06-03	1.2948	USD	CAD
2016-06-06	1.2856	USD	CAD
2016-06-07	1.2789	USD	CAD
2016-06-08	1.2695	USD	CAD
2016-06-09	1.2731	USD	CAD
2016-06-10	1.2736	USD	CAD
2016-06-13	1.2792	USD	CAD
2016-06-14	1.2835	USD	CAD
2016-06-15	1.2914	USD	CAD
2016-06-16	1.3041	USD	CAD
2016-06-17	1.2878	USD	CAD
2016-06-20	1.2807	USD	CAD
2016-06-21	1.2818	USD	CAD
2016-06-22	1.2820	USD	CAD
2016-06-23	1.2752	USD	CAD
2016-06-24	1.2952	USD	CAD
2016-06-27	1.3078	USD	CAD
2016-06-28	1.3090	USD	CAD
2016-06-29	1.2991	USD	CAD
2016-06-30	1.3009	USD	CAD
2016-07-04	1.2844	USD	CAD
2016-07-05	1.2949	USD	CAD
2016-07-06	1.3005	USD	CAD
2016-07-07	1.2984	USD	CAD
2016-07-08	1.3073	USD	CAD
2016-07-11	1.3127	USD	CAD
2016-07-12	1.3016	USD	CAD
